,number_of_incidents,code,year,month
649,10,00e,2016,09
650,11,00e,2016,10
651,13,00e,2016,11
652,8,00e,2016,12
653,10,00e,2017,01
654,2,00e,2017,02
655,3,01a,2005,04
656,3,01a,2005,05
657,5,01a,2005,06
658,3,01a,2005,07
659,7,01a,2005,08
660,3,01a,2005,10
661,4,01a,2005,11
662,3,01a,2005,12
663,1,01a,2006,01
664,2,01a,2006,03
665,3,01a,2006,04
666,2,01a,2006,05
667,1,01a,2006,06
668,3,01a,2006,07
669,6,01a,2006,09
670,1,01a,2006,10
671,2,01a,2006,11
672,7,01a,2006,12
673,4,01a,2007,01
674,1,01a,2007,02
675,4,01a,2007,03
676,3,01a,2007,04
677,4,01a,2007,05
678,1,01a,2007,06
679,2,01a,2007,07
680,1,01a,2007,08
681,1,01a,2007,09
682,1,01a,2008,01
683,3,01a,2008,03
684,5,01a,2008,04
685,1,01a,2008,05
686,1,01a,2008,06
687,1,01a,2008,07
688,1,01a,2008,08
689,4,01a,2008,09
690,4,01a,2008,10
691,10,01a,2008,11
692,2,01a,2008,12
693,1,01a,2009,01
694,1,01a,2009,03
695,2,01a,2009,04
696,5,01a,2009,05
697,2,01a,2009,07
698,1,01a,2009,08
699,4,01a,2009,09
700,3,01a,2009,10
701,3,01a,2009,11
702,3,01a,2009,12
703,3,01a,2010,01
704,1,01a,2010,02
705,2,01a,2010,03
706,1,01a,2010,04
707,1,01a,2010,05
708,2,01a,2010,06
709,2,01a,2010,07
710,1,01a,2010,10
711,1,01a,2010,11
712,1,01a,2010,12
713,1,01a,2011,01
714,3,01a,2011,04
715,4,01a,2011,05
716,2,01a,2011,06
717,2,01a,2011,07
718,5,01a,2011,08
719,3,01a,2011,10
720,3,01a,2011,11
721,3,01a,2011,12
722,1,01a,2012,01
723,1,01a,2012,02
724,1,01a,2012,03
725,2,01a,2012,04
726,6,01a,2012,05
727,6,01a,2012,06
728,3,01a,2012,07
729,2,01a,2012,08
730,2,01a,2012,09
731,7,01a,2012,10
732,5,01a,2012,11
733,4,01a,2013,01
734,5,01a,2013,02
735,3,01a,2013,03
736,2,01a,2013,04
737,7,01a,2013,05
738,8,01a,2013,06
739,16,01a,2013,07
740,12,01a,2013,08
741,9,01a,2013,09
742,20,01a,2013,10
743,14,01a,2013,11
744,20,01a,2013,12
745,27,01a,2014,01
746,25,01a,2014,02
747,15,01a,2014,03
748,18,01a,2014,04
749,19,01a,2014,05
750,12,01a,2014,06
751,9,01a,2014,07
752,13,01a,2014,08
753,12,01a,2014,09
754,10,01a,2014,10
755,16,01a,2014,11
756,12,01a,2014,12
757,13,01a,2015,01
758,15,01a,2015,02
759,13,01a,2015,03
760,14,01a,2015,04
761,20,01a,2015,05
762,22,01a,2015,06
763,22,01a,2015,07
764,20,01a,2015,08
765,23,01a,2015,09
766,13,01a,2015,10
767,15,01a,2015,11
768,19,01a,2015,12
769,23,01a,2016,01
770,9,01a,2016,02
771,17,01a,2016,03
772,16,01a,2016,04
773,12,01a,2016,05
774,22,01a,2016,06
775,19,01a,2016,07
776,23,01a,2016,08
777,12,01a,2016,09
778,30,01a,2016,10
779,22,01a,2016,11
780,21,01a,2016,12
781,22,01a,2017,01
782,15,01a,2017,02
783,3,01b,2005,04
784,3,01b,2005,05
785,1,01b,2005,06
786,4,01b,2005,07
787,2,01b,2005,11
788,2,01b,2005,12
789,2,01b,2006,03
790,2,01b,2006,04
791,1,01b,2006,05
792,2,01b,2006,06
793,2,01b,2006,07
794,3,01b,2006,08
795,1,01b,2006,09
796,3,01b,2006,10
797,1,01b,2006,11
798,6,01b,2007,01
799,1,01b,2007,02
800,1,01b,2007,04
801,2,01b,2007,05
802,2,01b,2007,07
803,1,01b,2007,08
804,3,01b,2007,12
805,1,01b,2008,02
806,2,01b,2008,03
807,5,01b,2008,04
808,2,01b,2008,05
809,2,01b,2008,06
810,2,01b,2008,07
811,2,01b,2008,08
812,2,01b,2008,09
813,1,01b,2008,10
814,2,01b,2008,11
815,3,01b,2008,12
816,4,01b,2009,01
817,3,01b,2009,02
818,2,01b,2009,03
819,3,01b,2009,04
820,1,01b,2009,05
821,1,01b,2009,06
822,1,01b,2009,07
823,4,01b,2009,08
824,3,01b,2009,09
825,4,01b,2009,10
826,5,01b,2009,11
827,2,01b,2009,12
828,2,01b,2010,01
829,1,01b,2010,02
830,2,01b,2010,03
831,1,01b,2010,04
832,1,01b,2010,05
833,4,01b,2010,06
834,1,01b,2010,07
835,3,01b,2010,08
836,2,01b,2010,10
837,2,01b,2010,11
838,1,01b,2011,01
839,1,01b,2011,02
840,1,01b,2011,03
841,2,01b,2011,06
842,3,01b,2011,08
843,3,01b,2011,11
844,1,01b,2011,12
845,1,01b,2012,01
846,4,01b,2012,02
847,1,01b,2012,03
848,2,01b,2012,04
849,2,01b,2012,05
850,3,01b,2012,06
851,1,01b,2012,07
852,1,01b,2012,08
853,1,01b,2012,09
854,1,01b,2012,10
855,1,01b,2013,03
856,1,01b,2013,04
857,7,01b,2013,05
858,12,01b,2013,06
859,22,01b,2013,07
860,20,01b,2013,08
861,22,01b,2013,09
862,20,01b,2013,10
863,15,01b,2013,11
864,30,01b,2013,12
865,19,01b,2014,01
866,15,01b,2014,02
867,10,01b,2014,03
868,20,01b,2014,04
869,19,01b,2014,05
870,22,01b,2014,06
871,26,01b,2014,07
872,18,01b,2014,08
873,16,01b,2014,09
874,12,01b,2014,10
875,17,01b,2014,11
876,18,01b,2014,12
877,16,01b,2015,01
878,12,01b,2015,02
879,5,01b,2015,03
880,6,01b,2015,04
881,6,01b,2015,05
882,10,01b,2015,06
883,20,01b,2015,07
884,4,01b,2015,08
885,8,01b,2015,09
886,9,01b,2015,10
887,9,01b,2015,11
888,7,01b,2015,12
889,12,01b,2016,01
890,4,01b,2016,02
891,7,01b,2016,03
892,5,01b,2016,04
893,6,01b,2016,05
894,10,01b,2016,06
895,6,01b,2016,07
896,8,01b,2016,08
897,8,01b,2016,09
898,8,01b,2016,10
899,5,01b,2016,11
900,5,01b,2016,12
901,7,01b,2017,01
902,5,01b,2017,02
903,6,01c,2005,04
904,2,01c,2005,05
905,3,01c,2005,06
906,1,01c,2005,07
907,1,01c,2005,08
